"ID","Player","Team","Position","RkOv","Status","Age","Score","FGM","FG%","3PTM","3PT%","FT%","PTS","OREB","DREB","AST","ST","BLK","TO","A/TO"
"*03ams*","Zach LaVine","CHI","SG,G,SF,F","273","aris","31","49.02","6.8",".452","2.4",".349",".854","19.5","0.3","4.8","3.9","0.8","0.3","2.1","1.88"
"*05uik*","Ziaire Williams","MEM","SF,F","274","erUP","24","48.81","2.9",".397","1.1",".307",".827","8.2","0.7","2.8","1.5","0.7","0.2","1.3","1.14"
"*0621q*","Nikola Jovic","MIA","SF,PF,F,C","275","SaraS","22","48.56","2.8",".452","1.4",".399",".702","7.7","0.5","3.6","2.0","0.5","0.3","0.9","2.14"
"*0621i*","Jake LaRavia","MEM","PF,F","276","SaraS","24","48.48","3.4",".389","1.5",".340",".826","10.8","1.5","2.2","1.7","0.8","0.3","1.3","1.29"
"*049kf*","Mo Bamba","PHI","C","277","FA","27","48.33","1.7",".490","0.4",".391",".680","4.4","1.4","2.8","0.7","0.4","1.1","0.7","1.05"
"*03nwq*","Christian Wood","LAL","PF,F,C","278","Yarrrr","30","48.25","2.5",".466","0.7",".307",".702","6.9","0.8","4.3","1.0","0.3","0.7","1.0","0.98"
"*04jw5*","Torrey Craig","CHI","SF,PF,F","279","FA","35","48.13","2.0",".430","1.1",".392",".750","5.7","1.3","2.8","1.1","0.6","0.4","0.6","1.81"
"*05qsn*","Malachi Flynn","TOR/NY/DET","PG,G","280","FA","27","47.8","2.0",".418","0.8",".331",".732","5.5","0.3","1.3","1.9","0.6","0.1","0.9","2.06"
"*04qsp*","Chimezie Metu","PHO/MEM/DET","PF,F,C","281","FA","29","46.93","2.4",".504","0.5",".298",".906","6.5","0.8","3.0","0.9","0.8","0.3","1.0","0.88"
"*04qrx*","Josh Okogie","PHO","SG,G,SF,F","282","SaraS","27","46.89","1.4",".417","0.5",".309",".745","4.6","1.2","1.3","1.1","0.8","0.4","0.6","1.78"
"*05qt9*","Killian Hayes","DET","PG,SG,G","283","FA","24","46.63","2.8",".413","0.5",".297",".660","6.9","0.3","2.6","4.9","0.9","0.5","1.2","4.02"
"*05uuq*","Jock Landale","HOU","C","284","zambo","30","46.18","1.9",".515","0.2",".250",".800","4.9","1.6","1.5","1.2","0.4","0.6","0.6","2.10"
"*05uiz*","Quentin Grimes","NY/DET","SG,G,SF,F","285","Brid","25","45.93","2.4",".372","1.6",".338",".756","7.0","0.3","1.7","1.3","0.7","0.1","0.5","2.36"
"*02nfy*","Jae Crowder","MIL","SF,PF,F","286","FA","35","45.76","2.3",".422","1.2",".349",".722","6.2","0.6","2.6","1.3","0.8","0.2","0.5","2.87"
"*06cc0*","Taylor Hendricks","UTA","PF,F","287","prl","22","45.65","2.7",".450","1.3",".379",".793","7.3","1.1","3.5","0.8","0.7","0.8","0.7","1.19"
"*05uij*","Davion Mitchell","SAC","PG,G","288","FA","27","45.44","2.0",".452","0.8",".361",".714","5.3","0.3","1.1","1.9","0.2","0.0","0.6","3.12"
"*04fj8*","Chris Boucher","TOR","SF,PF,F","289","FA","33","45.1","2.2",".507","0.6",".330",".772","6.4","1.2","2.9","0.5","0.3","0.5","0.6","0.82"
"*06cc5*","Anthony Black","ORL","PG,G","290","Thad","22","44.98","1.7",".466","0.5",".394",".613","4.6","0.5","1.5","1.3","0.5","0.3","0.8","1.63"
"*05qt6*","Jordan Nwora","IND/TOR","SF,PF,F","291","FA","27","44.12","2.7",".462","0.8",".336",".830","7.0","0.5","2.3","1.2","0.5","0.3","1.0","1.17"
"*04qs9*","Jevon Carter","CHI","PG,G","292","FA","30","43.87","1.9",".378","1.1",".329",".571","5.0","0.2","0.7","1.3","0.5","0.2","0.5","2.61"
"*05qve*","Jae'Sean Tate","HOU","SG,G,SF,F","293","FA","30","43.82","1.7",".472","0.4",".299",".667","4.1","0.9","2.1","1.0","0.6","0.2","0.6","1.73"
"*03e79*","Dwight Powell","DAL","C","294","FA","34","43.49","1.1",".679","0.0",".333",".708","3.3","1.5","1.9","1.3","0.4","0.3","0.5","2.63"
"*049s6*","Markelle Fultz","ORL","PG,SG,G","295","erUP","27","43.27","3.6",".472","0.1",".222",".697","7.8","1.3","1.9","2.8","1.0","0.3","1.2","2.40"
"*03r7h*","Delon Wright","WAS/MIA","PG,SG,G","296","FA","33","42.9","1.6",".394","0.5",".368",".822","4.5","0.4","1.4","2.5","1.1","0.2","0.3","8.50"
"*0621o*","Blake Wesley","SA","SG,G","297","FA","23","42.53","1.7",".474","0.2",".218",".667","4.4","0.3","1.2","2.7","0.5","0.1","0.9","3.02"
"*052fs*","Garrison Mathews","ATL","SG,G","298","FA","29","42.44","1.6",".456","1.3",".440",".810","4.9","0.3","1.1","0.6","0.3","0.1","0.3","1.95"
"*051oo*","Jaxson Hayes","LAL","C","299","FA","25","42.44","1.8",".720","0.0",".000",".622","4.3","1.0","2.0","0.5","0.5","0.4","0.6","0.77"
